chapter,zh_source_edition,chinese,translator,translation,ai_interpretation
47,"王弼本","不出户，知天下；不窥牖，见天道。其出弥远，其知弥少。是以圣人不行而知，不见而名，不为而成。","arsovska","No hay que salir de casa para conocer el mundo. No hay que asomarse por la ventana para ver el Dao. Cuanto más lejos indagas, menos entiendes. Por ello el sabio conoce sin actuar, entiende sin ver, logra sin hacer.",""
48,"王弼本","为学日益，为道日损。损之又损，以至于无为。无为而无不为。取天下常以无事，及其有事，不足以取天下。","arsovska","Estudiar es acumular, acercarse al Dao es soltar; soltar y soltar hasta no actuar. Y, al no hacer, nada queda sin atender. Para gobernar el mundo no hay que hacer de más. Aquel que se esfuerza en obrar no es apto para gobernar.",""
49,"王弼本","圣人无常心，以百姓心为心。善者，吾善之；不善者，吾亦善之，德善。信者，吾信之；不信者，吾亦信之，德信。圣人在，天下歙歙，为天下浑其心，百姓皆注其耳目，圣人皆孩之。","arsovska","La mente del sabio no es inmutable; toma la mente del pueblo por suya. Con los buenos soy bueno; con los malos, también lo soy. La bondad es Virtud. Confío en los que son de fiar y también en los que no lo son. La confianza es Virtud. El sabio se contiene y funde su corazón con el mundo. El pueblo se centra en lo que oye y ve. El sabio los toma por hijos.",""
50,"王弼本","出生入死。生之徒，十有三；死之徒，十有三；人之生，动之死地，亦十有三。夫何故？以其生生之厚。盖闻善摄生者，陆行不遇兕虎，入军不被甲兵；兕无所投其角，虎无所措其爪，兵无所容其刃。夫何故？以其无死地。","arsovska","Salir a la vida es entrar a la muerte. Tres de cada diez son discípulos de la vida; tres de cada diez, discípulos de la muerte, y en vida se mueven en arenas mortales también tres de cada diez. ¿Por qué es esto? Por mucho aferrarse a la vida. He oído que quienes saben cultivar la vida no se topan al tigre ni tropiezan con el rinoceronte. En batalla no blanden escudo ni empuñan espada. No dejan sitio donde el rinoceronte pueda insertar su cuerno ni lugar donde el tigre pueda encajar sus garras, ni ofrecen espacios donde las dagas puedan penetrar. ¿Por qué? Porque evaden las arenas mortales.",""
51,"王弼本","道生之，德畜之，物形之，势成之。是以万物莫不尊道而贵德。道之尊，德之贵，夫莫之命而常自然。故道生之，德畜之。长之育之，亭之毒之，养之覆之。生而不有，为而不恃，长而不宰。是谓玄德。","arsovska","El Dao engendra, la Virtud nutre; lo tangible moldea, el potencial intrínseco logra. Por ello, entre las diez mil cosas no hay una que no respete al Dao, que no valore la Virtud. Respetar al Dao y valorar la Virtud no proviene de una orden, sino de la espontaneidad. Pues el Dao engendra y la Virtud nutre; hace crecer, madurar, apacigua, recoge, cría, multiplica. Engendra sin poseer, guía sin retener, hace madurar sin dominar. Eso se llama Virtud misteriosa.",""
52,"王弼本","天下有始，以为天下母。既得其母，以知其子，既知其子，复守其母，没身不殆。塞其兑，闭其门，终身不勤。开其兑，济其事，终身不救。见小曰明，守柔曰强。用其光，复归其明，无遗身殃，是为习常。","arsovska","Lo que en el mundo tiene comienzo es porque tiene una madre. Conocer a la madre es conocer al hijo; conocer al hijo permite retornar y proteger a la madre. Sin cuerpo no hay calamidad. Cubre las grietas, cierra tus puertas, y la vida estará libre de tormento. Abre las grietas, dedícate a las minucias, y nada te salvará. Iluminado es quien se muestra diminuto, fuerte es quien conserva lo blando. Aprovecha el brillo para volver a la luz. No heredes calamidades al cuerpo. Esto se llama adherirse a lo constante.",""
53,"王弼本","使我介然有知，行于大道，唯施是畏。大道甚夷，而民好径。朝甚除，田甚芜，仓甚虚；服文彩，带利剑，厌饮食，财货有余；是为夸盗。非道也哉！","arsovska","Si acaso aprendo algo, será para caminar el Dao; desviarme sería mi único temor. El gran Dao es llano, pero lo torcido atrae al humano. Cuando la corte es inmaculada, áridos son los campos y vacíos los graneros, ostentosos los ajuares, filosas las espadas y fastuosos los banquetes. Cuando las riquezas sobran, abundan los ladrones. ¡Cuánta ausencia de Dao!",""
54,"王弼本","善建者不拔，善抱者不脱，子孙以祭祀不辍。修之于身，其德乃真；修之于家，其德乃余；修之于乡，其德乃长；修之于国，其德乃丰；修之于天下，其德乃普。故以身观身，以家观家，以乡观乡，以国观国，以天下观天下。吾何以知天下然哉？以此。","arsovska","Quien sabe sembrar no arranca; quien sabe abrazar no aparta. Así, hijos y nietos siempre llevarán sacrificios a su altar. Entonces, cultivar tu persona es Virtud verdadera; cultivar tu hogar es Virtud abundante; cultivar tu poblado es Virtud que crece; cultivar el Estado es Virtud que rebosa; cultivar el mundo es Virtud que se esparce. Por ello, mira al otro a partir de ti, mira su casa a partir de la tuya, mira su pueblo a partir del tuyo, mira su Estado a partir del tuyo, mira su mundo a partir del tuyo. ¿Cómo sé que todo bajo el cielo así funciona? Por el Dao.",""
55,"王弼本","含德之厚，比于赤子。蜂虿虺蛇不螫，猛兽不据，攫鸟不搏。骨弱筋柔而握固。未知牝牡之合而全作，精之至也。终日号而不嗄，和之至也。知和曰常，知常曰明。益生曰祥。心使气曰强。物壮则老，谓之不道，不道早已。","arsovska","Aquel con Virtud abundante es cual infante: el veneno no lo hiere, las bestias no lo muerden, las aves de rapiña no lo apresan. Sus huesos son débiles y sus músculos blandos, pero aprieta fuerte. No conoce aún la unión entre hombre y mujer, mas su sexo rebosa y su esencia vital es plena. Puede llorar el día entero sin enronquecer, pues fluye en armonía. Conocer la armonía es permanencia; conocer la permanencia es iluminación; la vida desbocada es calamidad. Controlar con la mente el qi es violentar. Cuando las cosas robustecen envejecen. A eso se le llama el no Dao; el no Dao es el fin.",""
56,"王弼本","知者不言，言者不知。塞其兑，闭其门，挫其锐，解其分，和其光，同其尘，是谓玄同。故不可得而亲，不可得而疏；不可得而利，不可得而害；不可得而贵，不可得而贱。故为天下贵。","arsovska","Quien sabe no predica; quien predica no sabe. Cubre las grietas y cierra las puertas; aplana el filo y deshaz el nudo; pule el brillo y reúne el polvo. Eso se llama consonancia misteriosa. Por ello, al no poder alcanzarla, unos se acercan y otros se alejan. Al no poder lograrla, unos benefician y otros perjudican. Al no poder obtenerla, unos la valoran y otros la desprecian. ¡Por ello es tan apreciada en el mundo!",""
57,"王弼本","以正治国，以奇用兵，以无事取天下。吾何以知其然哉？以此。天下多忌讳，而民弥贫；民多利器，国家滋昏；人多伎巧，奇物滋起；法令滋彰，盗贼多有。故圣人云：我无为而民自化，我好静而民自正，我无事而民自富，我无欲而民自朴。","arsovska","Gobierna al Estado con rectitud usual, gana las guerras con tácticas imprevisibles, logra sin obrar. Yo sé que así son las cosas. Cuantos más tabúes y prohibiciones, más rebeliones; cuantas más espadas afiladas, más caos; cuanta más astucia, más perversidad; cuantas más normas y leyes, más ladrones. Por ello el sabio dice: 'yo no actúo y el pueblo por sí solo se transforma; me apego a la calma y el pueblo se ordena; yo no actúo y el pueblo por sí solo se enriquece; yo no anhelo y el pueblo por sí solo retorna a la simpleza'.",""
58,"王弼本","其政闷闷，其民淳淳；其政察察，其民缺缺。祸兮福之所倚，福兮祸之所伏。孰知其极？其无正。正复为奇，善复为妖。人之迷，其日固久。是以圣人方而不割，廉而不刿，直而不肆，光而不耀。","arsovska","Gobierno sigiloso, pueblo honesto; gobierno inquisidor, pueblo malicioso. La desgracia, ¡oh!, se apoya en la fortuna. La fortuna, ¡oh!, es presa de la desgracia. ¿Pero quién conoce el vaivén de los extremos? Son impredecibles. Lo predecible retorna a lo impredecible y la bondad a la vileza. Ese enigma desde antaño perturba al ser humano. Por ello, el sabio discierne sin separar, divide sin cortar, endereza sin juzgar, brilla sin quemar.",""
59,"王弼本","治人事天，莫若啬。夫唯啬，是谓早服；早服谓之重积德；重积德则无不克，无不克则莫知其极；莫知其极，可以有国；有国之母，可以长久；是谓深根固柢，长生久视之道。","arsovska","Para gobernar al pueblo y obrar bajo el cielo, nada como economizar. Economizar es prever; prever es valorar la Virtud de acumular; valorar la Virtud de acumular es poder domarlo todo. No es fácil estimar los límites de quien puede domarlo todo. A él, se le puede otorgar el Estado. Abrazando a la Madre, el Estado puede perdurar. A eso se le llama raíces hondas, cimientos firmes, Dao fecundo y manifiesto.",""
60,"王弼本","治大国，若烹小鲜。以道莅天下，其鬼不神；非其鬼不神，其神不伤人；非其神不伤人，圣人亦不伤人。夫两不相伤，故德交归焉。","arsovska","Gobernar un Estado es como freír un pez. Si se gobierna con el Dao, las fuerzas malignas carecen de vitalidad y no hieren al ser humano. Y si aquéllas no lo hieren, el sabio tampoco. Cuando estos pares no se hieren entre sí, la Virtud fluye y retorna.",""
61,"王弼本","大国者下流，天下之交。天下之牝，牝常以静胜牡，以静为下。故大国以下小国，则取小国；小国以下大国，则取大国。故或下以取，或下而取。大国不过欲兼畜人，小国不过欲入事人。夫两者各得其所欲，大者宜为下。","arsovska","Un gran Estado fluye hacia abajo, se funde con el mundo, como Hembra. La Hembra vence al Macho con quietud; la quietud se sitúa debajo. Por ello, el Estado grande se coloca debajo y toma al Estado pequeño; el Estado pequeño se coloca debajo y se une al gran Estado. Colocarse debajo sirve para tomar y ser tomado. El gran Estado sólo quiere crecer y nutrir a su gente; el pequeño sólo busca servir y preservar su pueblo. Así, cada uno obtiene lo que anhela. Al grande le conviene colocarse debajo.",""
62,"王弼本","道者万物之奥。善人之宝，不善人之所保。美言可以市，尊行可以加人。人之不善，何弃之有？故立天子，置三公，虽有拱璧以先驷马，不如坐进此道。古之所以贵此道者何？不曰：以求得，有罪以免邪？故为天下贵。","arsovska","El Dao es el refugio de todas las cosas. El tesoro del bondadoso, el cobijo del malicioso. Las palabras bellas pueden comprar respeto, los actos refinados permiten acumular. A la malicia humana la abandonas y ¿deja de existir? Cuando el Hijo del cielo asume el trono y los tres ministros ocupan sus cargos, aunque ofrezcan jade y escuadrilla de corceles, es mejor seguir el Dao. ¿Por qué desde antaño se valora tanto al Dao? ¿Acaso no se dice: busca y encontrarás, gracias a tus errores calamidades evitarás? Por ello el Dao es lo más valioso bajo el cielo.",""
63,"王弼本","为无为，事无事，味无味。大小多少，报怨以德。图难于其易，为大于其细；天下难事必作于易，天下大事必作于细。是以圣人终不为大，故能成其大。夫轻诺必寡信，多易必多难。是以圣人犹难之，故终无难矣。","arsovska","Actúa sin actuar, obra sin obrar, saborea lo insípido. Lo grande fue pequeño, lo mucho fue poco; responde al odio con Virtud, atiende lo complejo desde lo simple, logra lo grande desde lo diminuto. Lo difícil del mundo se atiende desde lo simple; las grandes obras comienzan por actos minúsculos. Por ello, el sabio jamás atiende lo grande y logra grandeza. Las promesas a la ligera son palabras vacías; mucha facilidad trae grandes dificultades. Por ello, el sabio valora la dificultad y al final nada le es difícil.",""
64,"王弼本","其安易持，其未兆易谋。其脆易泮，其微易散。为之于未有，治之于未乱。合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。为者败之，执者失之。是以圣人无为故无败，无执故无失。民之从事，常于几成而败之。慎终如始，则无败事。是以圣人欲不欲，不贵难得之货；学不学，复众人之所过。以辅万物之自然，而不敢为。","arsovska","Es fácil apresar lo calmado, es fácil planear antes del augurio, es fácil quebrar lo frágil, es fácil disipar lo ínfimo. Ocúpate antes de que surja, ordénalo antes de que se enrede. Un árbol que pueden dos brazos rodear fue primero una diminuta raíz. Una pagoda de nueve pisos comenzó con un montículo de tierra. Un viaje de mil millas comenzó con un paso. Quien actúa fracasa; quien se aferra pierde. Por ello el sabio no actúa, y no fracasa. No se aferra, y no pierde. Cuando el pueblo busca actuar, suele fracasar justo antes de lograr. Pues hay que saber terminar, tanto como saber comenzar. Sólo así no hay lugar para el fracaso. Por ello, el sabio desea no desear, no valora las cosas difíciles de obtener, aprende a no aprender, recorre el sendero que el pueblo ya caminó, se adhiere a la espontaneidad de las diez mil cosas y, por ello, no se atreve a actuar.",""
65,"王弼本","古之善为道者，非以明民，将以愚之。民之难治，以其智多。故以智治国，国之贼；不以智治国，国之福。知此两者亦稽式。常知稽式，是谓玄德。玄德深矣，远矣，与物反矣，然后乃至大顺。","arsovska","Aquellos antaño diestros en el Dao no lo empleaban para iluminar al pueblo, sino para mantener su ingenuidad. Gobernar es difícil porque abunda la sagacidad. Gobernar con sagacidad incita a la astucia; gobernar sin sagacidad trae plenitud. Conocer estos dos es conocer el molde. Conocer el molde es Virtud misteriosa, profunda y lejana, que retorna a las cosas y fluye con ellas.",""
66,"王弼本","江海所以能为百谷王者，以其善下之，故能为百谷王。是以欲上民，必以言下之。欲先民，必以身后之。是以圣人处上而民不重，处前而民不害。是以天下乐推而不厌，以其不争，故天下莫能与之争。","arsovska","Los ríos y los mares son señores de los cien valles. Es su virtud situarse debajo; por ello pueden ser sus reyes. Por ello, si quieres estar por encima del pueblo, tus palabras deben indicar lo contrario. Si quieres preceder al pueblo, debes situarte atrás. Así, el sabio está encima, pero el pueblo no siente su peso; está delante, pero no lastima; promueve, pero no aprisiona. Al no contender, nada en el mundo puede luchar contra él...",""
67,"王弼本","天下皆谓我道大，似不肖。夫唯大，故似不肖。若肖，久矣其细也夫！我有三宝，持而保之。一曰慈，二曰俭，三曰不敢为天下先。慈故能勇；俭故能广；不敢为天下先，故能成器长。今舍慈且勇，舍俭且广，舍后且先，死矣！夫慈以战则胜，以守则固。天将救之，以慈卫之。","arsovska","Bajo el cielo todos dicen que mi Dao es grande; tal parece que con nada se compara. Justo por su grandeza a nada semeja; si a algo semejara, ¡su grandeza menguaría! Tengo yo tres tesoros que valoro y protejo: la compasión, la frugalidad y jamás preceder. De la compasión surge la valentía; de la frugalidad, la generosidad, y de jamás preceder, el liderazgo. Pero hoy se abandona la compasión y, con ella, la valentía; la frugalidad y, con ella, la generosidad. Se sacrifica el atrás por la delantera y eso es ¡la muerte misma! La compasión vence en la guerra y resguarda al Estado, y entonces el cielo rescata y protege con compasión.",""
68,"王弼本","善为士者不武，善战者不怒，善胜敌者不与，善用人者为之下，是谓不争之德，是谓用人之力，是谓配天古之极。","arsovska","Quien sabe pelear no emplea armas; quien sabe luchar controla su ira; quien sabe vencer al enemigo no acude a su encuentro; quien a otros sabe usar se coloca por debajo de ellos. He aquí la Virtud de no contender, la destreza de saber disponer de los demás. Desde tiempos remotos, ¡eso es ser digno par del cielo!",""
69,"王弼本","用兵有言：吾不敢为主而为客，不敢进寸而退尺。是谓行无行，攘无臂，扔无敌，执无兵。祸莫大于轻敌，轻敌几丧吾宝。故抗兵相加，哀者胜矣。","arsovska","Quienes comandan ejércitos dicen: prefiero ser huésped y no anfitrión; prefiero retroceder diez pasos y no avanzar una pulgada. Esto se llama avanzar sin andar, enrollarse las mangas sin empuñar, prepararse mas no embestir. ¿Acaso el enemigo osará atacar? No hay peor catástrofe que subestimar al enemigo. Significa perderlo todo. Por ello, cuando dos ejércitos se enfrentan, quien lamenta el encuentro resulta victorioso.",""
70,"王弼本","吾言甚易知，甚易行。天下莫能知，莫能行。言有宗，事有君。夫唯无知，是以不我知。知我者希，则我者贵。是以圣人被褐怀玉。","arsovska","Es fácil comprender mis palabras y también fácil actuar en concordancia. Pero el mundo no las comprende ni tampoco las pone en práctica. Mis palabras tienen ancestros, y las acciones, predecesores. Quienes no entienden esto tampoco me entienden a mí. Pocos me conocen: he ahí mi valor. Los ropajes raídos del sabio ocultan fino jade en su interior.",""
71,"王弼本","知不知上，不知知病。夫唯病病，是以不病。圣人不病，以其病病，是以不病。","arsovska","Saber que no sabes es superior. No saber lo que sabes es padecer. Sólo quien conoce la enfermedad deja de padecer. El sabio no padece porque conoce la enfermedad. Conocer la enfermedad es jamás padecer.",""
72,"王弼本","民不畏威，则大威至。无狎其所居，无厌其所生。夫唯不厌，是以不厌。是以圣人自知不自见；自爱不自贵。故去彼取此。","arsovska","Cuando el pueblo no teme a la autoridad, grande es el poder del Estado. No te metas en sus casas, no obstaculices sus vidas, no los orilles, déjalos crecer; sólo así podrás retener el poder. Por ello, el sabio se conoce, mas no se exhibe; se ama, mas no se idolatra. Deja aquello y toma esto.",""
73,"王弼本","勇于敢则杀，勇于不敢则活。此两者，或利或害。天之所恶，孰知其故？是以圣人犹难之。天之道，不争而善胜，不言而善应，不召而自来，繟然而善谋。天网恢恢，疏而不失。","arsovska","El temerario y atrevido perece. El valiente y prudente permanece. De estos dos, uno es benéfico; el otro, perjudicial. Aquello que el cielo repudia, ¿acaso alguien conoce sus razones? Incluso el sabio alberga sus dudas. El Dao del cielo es vencer sin luchar, responder sin hablar, acudir sin ser llamado, cual diestro tejedor saber planear. Las redes del cielo no tienen límites; se estiran, mas no se rasgan.",""
74,"王弼本","民不畏死，奈何以死惧之？若使民常畏死，而为奇者，吾得执而杀之，孰敢？常有司杀者杀，夫代司杀者杀，是谓代大匠斲，夫代大匠斲者，希有不伤其手矣。","arsovska","Si el pueblo no le teme a la muerte, ¿para qué amenazarlo con ella? Si a quien infunde el miedo a la muerte lo debo atrapar y matar, ¿me atreveré? Existen verdugos encargados de ejecutar. Querer tomar su lugar, ¿acaso no es pretender reemplazar al carpintero? Quien reemplaza al carpintero siempre se corta la mano.",""
75,"王弼本","民之饥，以其上食税之多，是以饥。民之难治，以其上之有为，是以难治。民之轻死，以其求生之厚，是以轻死。夫唯无以生为者，是贤于贵生。","arsovska","Hay hambruna cuando los tributos son desproporcionados: por eso hay hambruna. Gobernar es difícil cuando los de arriba actúan de más; por eso es difícil gobernar. El pueblo muere con facilidad porque se aferra a la vida; por eso el pueblo muere con facilidad. Vivir sin actuar es mejor que sobrevalorar la vida.",""
76,"王弼本","人之生也柔弱，其死也坚强。万物草木之生也柔脆，其死也枯槁。故坚强者死之徒，柔弱者生之徒。是以兵强则不胜，木强则兵。强大处下，柔弱处上。","arsovska","El humano es blando y flexible en vida; duro y rígido al morir. Las plantas son frágiles y blandas al nacer; se marchitan y secan al perecer. Lo duro y lo rígido son discípulos de la muerte; lo blando y lo flexible, discípulos de la vida. Así, quien en batalla emplea la fuerza no triunfa. Cuando el árbol endurece, se tala. Lo duro y rígido es inferior, lo blando y flexible es superior.",""
77,"王弼本","天之道，其犹张弓与？高者抑之，下者举之；有余者损之，不足者补之。天之道，损有余而补不足。人之道则不然，损不足以奉有余。孰能有余以奉天下，唯有道者。是以圣人为而不恃，功成而不处，其不欲见贤。","arsovska","El Dao del cielo ¿acaso duda en templar el arco? Desciende lo alto, eleva lo bajo; disipa lo sobrante, compensa lo carente. ... El Dao del cielo disipa lo sobrante y compensa lo carente. El Dao del humano no es así: disipa lo carente para desbordar lo sobrante. ¿Quién es capaz de ofrendar al mundo lo que le sobra? Sólo aquel que posee el Dao. Por ello el sabio actúa sin aferrarse, logra sin asentarse y sin deseo de mostrarse.",""
78,"王弼本","天下莫柔弱于水，而攻坚强者莫之能胜，其无以易之。弱之胜强，柔之胜刚，天下莫不知莫能行。是以圣人云：受国之垢，是谓社稷主；受国不祥，是为天下王。正言若反。","arsovska","Nada en el mundo es más blando y flexible que el agua, mas ninguna cosa, por rígida y fuerte que sea, la puede vencer. En lo no manifiesto residen sus cambios. Lo débil vence a lo fuerte, lo flexible vence a lo rígido. Bajo el cielo todos lo saben, mas no lo practican. Por ello dicen los sabios: 'Quien no teme enlodarse es señor de las cosechas; quien puede con las calamidades del Estado es el rey del mundo'. Éstas son palabras rectas que parecen torcidas.",""
79,"王弼本","和大怨，必有余怨，安可以为善？是以圣人执左契，而不责于人。有德司契，无德司彻。天道无亲，常与善人。","arsovska","En toda reconciliación queda siempre un vestigio de resentimiento. ¿Dónde está entonces la bondad? El sabio mantiene el comprobante, pero no presiona por el pago. El virtuoso busca que se cumpla el trato; el no virtuoso exige el pago de la deuda. El cielo no es parcial, mas acompaña al bondadoso.",""
80,"王弼本","小国寡民。使有什伯之器而不用，使民重死而不远徙。虽有舟舆，无所乘之，虽有甲兵，无所陈之。使人复结绳而用之，甘其食，美其服，安其居，乐其俗。邻国相望，鸡犬之声相闻，民至老死，不相往来。","arsovska","Estado pequeño, población escasa... Ten decenas, centenares de armas, pero no las uses. Haz al pueblo respetar la muerte y no migrar a tierras lejanas. Aunque haya barcos y carrozas, no los abordes. Aunque tengas armaduras y lanzas, no las despliegues. Haz que el pueblo nuevamente anude las cuerdas, saboree la comida, embellezca los ropajes, pacifique la morada, disfrute las costumbres. Estados vecinos se divisan de lejos. Perros y gallos se oyen entre sí. Los habitantes envejecen y mueren sin jamás interactuar.",""
81,"王弼本","信言不美，美言不信。善者不辩，辩者不善。知者不博，博者不知。圣人不积，既以为人己愈有，既以与人己愈多。天之道，利而不害；圣人之道，为而不争。","arsovska","Las palabras confiables no son bellas; las palabras bellas no son confiables. Quien es bondadoso no discute; quien discute no es bondadoso. Quien sabe no se exhibe; quien se exhibe no sabe. El sabio no acumula. Cuanto más ayuda, más posee; cuanto más da, más recibe. El Dao del cielo beneficia sin perjudicar. El Dao del sabio actúa sin luchar.",""
