translator,chapter,sentence_no,chinese,spanish,note
arsovska,38,11,"故去彼取此。","deja aquello y elige esto.",""
arsovska,39,1,"昔之得一者，天得一以清，地得一以宁，神得一以灵，谷得一以盈，万物得一以生，侯王得一以为天下贞。","Lo que antaño alcanzó el Uno... Al lograrlo el cielo se aclaró, al adquirirlo la tierra se apaciguó, al obtenerlo el espíritu se vigorizó, al alcanzarlo el valle se colmó, al conseguirlo las diez mil cosas germinaron, y reyes y príncipes con lealtad actuaron.",""
arsovska,39,2,"其致之，天无以清将恐裂，地无以宁将恐发，神无以灵将恐歇，谷无以盈将恐竭，万物无以生将恐灭，侯王无以贵高将恐蹶。","Y al no lograr el Uno... El cielo que no se aclara se agrieta; la tierra que no se apacigua se desintegra; el espíritu que no se vigoriza se pasma; el valle que no se colma se seca; las diez mil cosas, al nacer, comienzan a perecer; los reyes y príncipes, sin lealtad, colapsan.",""
arsovska,39,3,"故贵以贱为本，高以下为基。","Así entonces, la humildad es la raíz del alarde, lo alto el fundamento de lo bajo.",""
arsovska,39,4,"是以侯王自称孤、寡、不谷。","Por ello los reyes y príncipes se nombran a sí mismos 'huérfanos', 'abandonados', 'insuficientes'.",""
arsovska,39,5,"此非以贱为本邪？","¿Acaso no toman la humildad como raíz del alarde?",""
arsovska,39,6,"非乎？","¿No es así?",""
arsovska,39,7,"故致数舆无舆，不欲琭琭如玉，珞珞如石。","Los que alcanzan renombre nunca lo buscan. Más que perseguir el brillo del jade, se aferran a la solidez de la piedra.",""
arsovska,40,1,"反者道之动，弱者道之用。","El retorno es el movimiento del Dao; en lo blando reside la utilidad del Dao.",""
arsovska,40,2,"天下万物生于有，有生于无。","Las diez mil cosas nacen de lo 'Manifiesto'; lo 'Manifiesto' nace de lo 'No manifiesto'.",""
arsovska,41,1,"上士闻道，勤而行之；","Cuando el hombre superior oye al Dao, lo sigue con diligencia;",""
arsovska,41,2,"中士闻道，若存若亡；","cuando el hombre medio oye al Dao, o se aferra a él o lo abandona;",""
arsovska,41,3,"下士闻道，大笑之。","cuando el hombre inferior oye al Dao, suelta una carcajada.",""
arsovska,41,4,"不笑，不足以为道。","Si no se carcajea, entonces no era el Dao.",""
arsovska,41,5,"故建言有之：","Por ello advierte el proverbio:",""
arsovska,41,6,"明道若昧，进道若退，夷道若颣，","opaco parece el Dao cuando más iluminado está; cuanto más avanza, más parece retroceder, y más rugoso parece cuando más terso está.",""
arsovska,41,7,"上德若谷，","La Virtud suprema es como el gran valle.",""
arsovska,41,8,"大白若辱，","La gran honra semeja desdén.",""
arsovska,41,9,"广德若不足，","La Virtud vasta parece insuficiente.",""
arsovska,41,10,"建德若偷，质真若渝，","La Virtud firme parece hurtada; es tan cierta que parece falsa.",""
arsovska,41,11,"大方无隅，大器晚成，大音希声，大象无形，","El gran cuadrado carece de ángulos; el gran artefacto se logra con tiempo; el gran sonido no se percibe; la gran imagen carece de forma.",""
arsovska,41,12,"道隐无名。","El Dao está oculto y carece de nombre.",""
arsovska,41,13,"夫唯道，善贷且成。","Por ello, sólo el Dao puede dar y lograr.",""
arsovska,42,1,"道生一，一生二，二生三，三生万物。","El Dao genera el Uno. El Uno genera el Dos. El Dos genera el Tres. El Tres genera las diez mil cosas.",""
arsovska,42,2,"万物负阴而抱阳，冲气以为和。","Las diez mil cosas se sostienen en yin y abrazan a yang. Qi se agita y alcanza la armonía.",""
arsovska,42,3,"人之所恶，唯孤、寡、不谷，而王公以为称。","Nada detesta más el humano que el abandono, la orfandad y la escasez. Los soberanos y duques, en cambio, así se designan.",""
arsovska,42,4,"故物或损之而益，或益之而损。","Las cosas o dañan para luego beneficiar o benefician para luego dañar.",""
arsovska,42,5,"人之所教，我亦教之。","Yo sólo transmito lo que otros ya enseñaron:",""
arsovska,42,6,"强梁者不得其死，吾将以为教父。","'El violento nunca llega a su muerte natural'. Seguiré propagando estas enseñanzas.",""
arsovska,43,1,"天下之至柔，驰骋天下之至坚。","En el mundo lo más blando se impone a lo más rígido.",""
arsovska,43,2,"无有入无闲，吾是以知无为之有益。","Lo no manifiesto penetra donde no hay espacios. Yo conozco las ventajas del no hacer;",""
arsovska,43,3,"不言之教，无为之益，天下希及之。","una de ellas es enseñar sin predicar, pero pocos en el mundo lo logran comprender.",""
arsovska,44,1,"名与身孰亲？","Fama o vida, ¿qué valoras más?",""
arsovska,44,2,"身与货孰多？","Vida o cosas, ¿de cuál prefieres tener más?",""
arsovska,44,3,"得与亡孰病？","Acumular o soltar, ¿cuál de los dos perjudica más?",""
arsovska,44,4,"是故甚爱必大费，多藏必厚亡，知足不辱，知止不殆，可以长久。","Por todo ello, amar de más es desgastarse, acumular de más es perder, saber conformarse no trae vergüenza, saber parar no acarrea calamidad y sí permite la continuidad.",""
arsovska,45,1,"大成若缺，其用不弊。","El gran logro semeja carencia, mas su utilidad no perjudica.",""
arsovska,45,2,"大盈若冲，其用不穷。","Lo colmado parece vaciarse, mas su utilidad jamás mengua.",""
arsovska,45,3,"大直若屈，大巧若拙，大辩若讷。","La vasta rectitud parece torcida, el vasto ingenio parece ineptitud, la gran elocuencia semeja torpeza.",""
arsovska,45,4,"躁胜寒，静胜热。","La quietud vence al bullicio, el frío domina al calor,",""
arsovska,45,5,"清静为天下正。","la claridad y la calma ordenan al mundo.",""
arsovska,46,1,"天下有道，却走马以粪。","Cuando el Dao florece en el mundo, los caballos abonan los campos.",""
arsovska,46,2,"天下无道，戎马生于郊。","Cuando el Dao desaparece, sus crías amanecen en el campo de batalla.",""
arsovska,46,3,"祸莫大于不知足；","No hay peor desgracia que no saber cuándo es suficiente.",""
arsovska,46,4,"咎莫大于欲得。","No hay peor calamidad que el desear excedentes.",""
arsovska,46,5,"故知足之足，常足矣。","Saber cuándo es suficiente permite satisfacción permanente.",""
arsovska,47,1,"不出户，知天下；","No hay que salir de casa para conocer el mundo.",""
arsovska,47,2,"不窥牖，见天道。","No hay que asomarse por la ventana para ver el Dao.",""
arsovska,47,3,"其出弥远，其知弥少。","Cuanto más lejos indagas, menos entiendes.",""
arsovska,47,4,"是以圣人不行而知，不见而名，不为而成。","Por ello el sabio conoce sin actuar, entiende sin ver, logra sin hacer.",""
arsovska,48,1,"为学日益，为道日损。","Estudiar es acumular, acercarse al Dao es soltar;",""
arsovska,48,2,"损之又损，以至于无为。","soltar y soltar hasta no actuar.",""
arsovska,48,3,"无为而无不为。","Y, al no hacer, nada queda sin atender.",""
arsovska,48,4,"取天下常以无事，及其有事，不足以取天下。","Para gobernar el mundo no hay que hacer de más. Aquel que se esfuerza en obrar no es apto para gobernar.",""
arsovska,49,1,"圣人无常心，以百姓心为心。","La mente del sabio no es inmutable; toma la mente del pueblo por suya.",""
arsovska,49,2,"善者，吾善之；不善者，吾亦善之，德善。","Con los buenos soy bueno; con los malos, también lo soy. La bondad es Virtud.",""
arsovska,49,3,"信者，吾信之；不信者，吾亦信之，德信。","Confío en los que son de fiar y también en los que no lo son. La confianza es Virtud.",""
arsovska,49,4,"圣人在，天下歙歙，为天下浑其心，百姓皆注其耳目，圣人皆孩之。","El sabio se contiene y funde su corazón con el mundo. El pueblo se centra en lo que oye y ve. El sabio los toma por hijos.",""
arsovska,50,1,"出生入死。","Salir a la vida es entrar a la muerte.",""
arsovska,50,2,"生之徒，十有三；死之徒，十有三；人之生，动之死地，亦十有三。","Tres de cada diez son discípulos de la vida; tres de cada diez, discípulos de la muerte, y en vida se mueven en arenas mortales también tres de cada diez.",""
arsovska,50,3,"夫何故？","¿Por qué es esto?",""
arsovska,50,4,"以其生生之厚。","Por mucho aferrarse a la vida.",""
arsovska,50,5,"盖闻善摄生者，陆行不遇兕虎，入军不被甲兵；兕无所投其角，虎无所措其爪，兵无所容其刃。","He oído que quienes saben cultivar la vida no se topan al tigre ni tropiezan con el rinoceronte. En batalla no blanden escudo ni empuñan espada. No dejan sitio donde el rinoceronte pueda insertar su cuerno ni lugar donde el tigre pueda encajar sus garras, ni ofrecen espacios donde las dagas puedan penetrar.",""
arsovska,50,6,"夫何故？","¿Por qué?",""
arsovska,50,7,"以其无死地。","Porque evaden las arenas mortales.",""
arsovska,51,1,"道生之，德畜之，物形之，势成之。","El Dao engendra, la Virtud nutre; lo tangible moldea, el potencial intrínseco logra.",""
arsovska,51,2,"是以万物莫不尊道而贵德。","Por ello, entre las diez mil cosas no hay una que no respete al Dao, que no valore la Virtud.",""
arsovska,51,3,"道之尊，德之贵，夫莫之命而常自然。","Respetar al Dao y valorar la Virtud no proviene de una orden, sino de la espontaneidad.",""
arsovska,51,4,"故道生之，德畜之。","Pues el Dao engendra y la Virtud nutre;",""
arsovska,51,5,"长之育之，亭之毒之，养之覆之。","hace crecer, madurar, apacigua, recoge, cría, multiplica.",""
arsovska,51,6,"生而不有，为而不恃，长而不宰。","Engendra sin poseer, guía sin retener, hace madurar sin dominar.",""
arsovska,51,7,"是谓玄德。","Eso se llama Virtud misteriosa.",""
arsovska,52,1,"天下有始，以为天下母。","Lo que en el mundo tiene comienzo es porque tiene una madre.",""
arsovska,52,2,"既得其母，以知其子，既知其子，复守其母，没身不殆。","Conocer a la madre es conocer al hijo; conocer al hijo permite retornar y proteger a la madre. Sin cuerpo no hay calamidad.",""
arsovska,52,3,"塞其兑，闭其门，终身不勤。","Cubre las grietas, cierra tus puertas, y la vida estará libre de tormento.",""
arsovska,52,4,"开其兑，济其事，终身不救。","Abre las grietas, dedícate a las minucias, y nada te salvará.",""
arsovska,52,5,"见小曰明，守柔曰强。","Iluminado es quien se muestra diminuto, fuerte es quien conserva lo blando.",""
arsovska,52,6,"用其光，复归其明，无遗身殃，是为习常。","Aprovecha el brillo para volver a la luz. No heredes calamidades al cuerpo. Esto se llama adherirse a lo constante.",""
arsovska,53,1,"使我介然有知，行于大道，唯施是畏。","Si acaso aprendo algo, será para caminar el Dao; desviarme sería mi único temor.",""
arsovska,53,2,"大道甚夷，而民好径。","El gran Dao es llano, pero lo torcido atrae al humano.",""
arsovska,53,3,"朝甚除，田甚芜，仓甚虚；服文彩，带利剑，厌饮食，财货有余；","Cuando la corte es inmaculada, áridos son los campos y vacíos los graneros, ostentosos los ajuares, filosas las espadas y fastuosos los banquetes. Cuando las riquezas sobran,",""
arsovska,53,4,"是为夸盗。","abundan los ladrones.",""
arsovska,53,5,"非道也哉！","¡Cuánta ausencia de Dao!",""
arsovska,54,1,"善建者不拔，善抱者不脱，子孙以祭祀不辍。","Quien sabe sembrar no arranca; quien sabe abrazar no aparta. Así, hijos y nietos siempre llevarán sacrificios a su altar.",""
arsovska,54,2,"修之于身，其德乃真；修之于家，其德乃余；修之于乡，其德乃长；修之于国，其德乃丰；修之于天下，其德乃普。","Entonces, cultivar tu persona es Virtud verdadera; cultivar tu hogar es Virtud abundante; cultivar tu poblado es Virtud que crece; cultivar el Estado es Virtud que rebosa; cultivar el mundo es Virtud que se esparce.",""
arsovska,54,3,"故以身观身，以家观家，以乡观乡，以国观国，以天下观天下。","Por ello, mira al otro a partir de ti, mira su casa a partir de la tuya, mira su pueblo a partir del tuyo, mira su Estado a partir del tuyo, mira su mundo a partir del tuyo.",""
arsovska,54,4,"吾何以知天下然哉？","¿Cómo sé que todo bajo el cielo así funciona?",""
arsovska,54,5,"以此。","Por el Dao.",""
arsovska,55,1,"含德之厚，比于赤子。","Aquel con Virtud abundante es cual infante:",""
arsovska,55,2,"蜂虿虺蛇不螫，猛兽不据，攫鸟不搏。","el veneno no lo hiere, las bestias no lo muerden, las aves de rapiña no lo apresan.",""
arsovska,55,3,"骨弱筋柔而握固。","Sus huesos son débiles y sus músculos blandos, pero aprieta fuerte.",""
arsovska,55,4,"未知牝牡之合而全作，精之至也。","No conoce aún la unión entre hombre y mujer, mas su sexo rebosa y su esencia vital es plena.",""
arsovska,55,5,"终日号而不嗄，和之至也。","Puede llorar el día entero sin enronquecer, pues fluye en armonía.",""
arsovska,55,6,"知和曰常，知常曰明。","Conocer la armonía es permanencia; conocer la permanencia es iluminación;",""
arsovska,55,7,"益生曰祥。","la vida desbocada es calamidad.",""
arsovska,55,8,"心使气曰强。","Controlar con la mente el qi es violentar.",""
arsovska,55,9,"物壮则老，谓之不道，不道早已。","Cuando las cosas robustecen envejecen. A eso se le llama el no Dao; el no Dao es el fin.",""
arsovska,56,1,"知者不言，言者不知。","Quien sabe no predica; quien predica no sabe.",""
arsovska,56,2,"塞其兑，闭其门，挫其锐，解其分，和其光，同其尘，是谓玄同。","Cubre las grietas y cierra las puertas; aplana el filo y deshaz el nudo; pule el brillo y reúne el polvo. Eso se llama consonancia misteriosa.",""
arsovska,56,3,"故不可得而亲，不可得而疏；","Por ello, al no poder alcanzarla, unos se acercan y otros se alejan.",""
arsovska,56,4,"不可得而利，不可得而害；","Al no poder lograrla, unos benefician y otros perjudican.",""
arsovska,56,5,"不可得而贵，不可得而贱。","Al no poder obtenerla, unos la valoran y otros la desprecian.",""
arsovska,56,6,"故为天下贵。","¡Por ello es tan apreciada en el mundo!",""
arsovska,57,1,"以正治国，以奇用兵，以无事取天下。","Gobierna al Estado con rectitud usual, gana las guerras con tácticas imprevisibles, logra sin obrar.",""
arsovska,57,2,"吾何以知其然哉？以此。","Yo sé que así son las cosas.",""
arsovska,57,3,"天下多忌讳，而民弥贫；民多利器，国家滋昏；人多伎巧，奇物滋起；法令滋彰，盗贼多有。","Cuantos más tabúes y prohibiciones, más rebeliones; cuantas más espadas afiladas, más caos; cuanta más astucia, más perversidad; cuantas más normas y leyes, más ladrones.",""
arsovska,57,4,"故圣人云：我无为而民自化，我好静而民自正，我无事而民自富，我无欲而民自朴。","Por ello el sabio dice: 'yo no actúo y el pueblo por sí solo se transforma; me apego a la calma y el pueblo se ordena; yo no actúo y el pueblo por sí solo se enriquece; yo no anhelo y el pueblo por sí solo retorna a la simpleza'.",""
arsovska,58,1,"其政闷闷，其民淳淳；其政察察，其民缺缺。","Gobierno sigiloso, pueblo honesto; gobierno inquisidor, pueblo malicioso.",""
arsovska,58,2,"祸兮福之所倚，福兮祸之所伏。","La desgracia, ¡oh!, se apoya en la fortuna. La fortuna, ¡oh!, es presa de la desgracia.",""
arsovska,58,3,"孰知其极？","¿Pero quién conoce el vaivén de los extremos?",""
arsovska,58,4,"其无正。","Son impredecibles.",""
arsovska,58,5,"正复为奇，善复为妖。","Lo predecible retorna a lo impredecible y la bondad a la vileza.",""
arsovska,58,6,"人之迷，其日固久。","Ese enigma desde antaño perturba al ser humano.",""
arsovska,58,7,"是以圣人方而不割，廉而不刿，直而不肆，光而不耀。","Por ello, el sabio discierne sin separar, divide sin cortar, endereza sin juzgar, brilla sin quemar.",""
arsovska,59,1,"治人事天，莫若啬。","Para gobernar al pueblo y obrar bajo el cielo, nada como economizar.",""
arsovska,59,2,"夫唯啬，是谓早服；","Economizar es prever;",""
arsovska,59,3,"早服谓之重积德；","prever es valorar la Virtud de acumular;",""
arsovska,59,4,"重积德则无不克，","valorar la Virtud de acumular es poder domarlo todo.",""
arsovska,59,5,"无不克则莫知其极；","No es fácil estimar los límites de quien puede domarlo todo.",""
arsovska,59,6,"莫知其极，可以有国；","A él, se le puede otorgar el Estado.",""
arsovska,59,7,"有国之母，可以长久；","Abrazando a la Madre, el Estado puede perdurar.",""
arsovska,59,8,"是谓深根固柢，长生久视之道。","A eso se le llama raíces hondas, cimientos firmes, Dao fecundo y manifiesto.",""
arsovska,60,1,"治大国，若烹小鲜。","Gobernar un Estado es como freír un pez.",""
arsovska,60,2,"以道莅天下，其鬼不神；非其鬼不神，其神不伤人；","Si se gobierna con el Dao, las fuerzas malignas carecen de vitalidad y no hieren al ser humano.",""
arsovska,60,3,"非其神不伤人，圣人亦不伤人。","Y si aquéllas no lo hieren, el sabio tampoco.",""
arsovska,60,4,"夫两不相伤，故德交归焉。","Cuando estos pares no se hieren entre sí, la Virtud fluye y retorna.",""
arsovska,61,1,"大国者下流，天下之交。","Un gran Estado fluye hacia abajo, se funde con el mundo,",""
arsovska,61,2,"天下之牝，牝常以静胜牡，以静为下。","como Hembra. La Hembra vence al Macho con quietud; la quietud se sitúa debajo.",""
arsovska,61,3,"故大国以下小国，则取小国；小国以下大国，则取大国。","Por ello, el Estado grande se coloca debajo y toma al Estado pequeño; el Estado pequeño se coloca debajo y se une al gran Estado.",""
arsovska,61,4,"故或下以取，或下而取。","Colocarse debajo sirve para tomar y ser tomado.",""
arsovska,61,5,"大国不过欲兼畜人，小国不过欲入事人。","El gran Estado sólo quiere crecer y nutrir a su gente; el pequeño sólo busca servir y preservar su pueblo.",""
arsovska,61,6,"夫两者各得其所欲，大者宜为下。","Así, cada uno obtiene lo que anhela. Al grande le conviene colocarse debajo.",""
arsovska,62,1,"道者万物之奥。","El Dao es el refugio de todas las cosas.",""
arsovska,62,2,"善人之宝，不善人之所保。","El tesoro del bondadoso, el cobijo del malicioso.",""
arsovska,62,3,"美言可以市，尊行可以加人。","Las palabras bellas pueden comprar respeto, los actos refinados permiten acumular.",""
arsovska,62,4,"人之不善，何弃之有？","A la malicia humana la abandonas y ¿deja de existir?",""
arsovska,62,5,"故立天子，置三公，虽有拱璧以先驷马，不如坐进此道。","Cuando el Hijo del cielo asume el trono y los tres ministros ocupan sus cargos, aunque ofrezcan jade y escuadrilla de corceles, es mejor seguir el Dao.",""
arsovska,62,6,"古之所以贵此道者何？","¿Por qué desde antaño se valora tanto al Dao?",""
arsovska,62,7,"不曰：以求得，有罪以免邪？","¿Acaso no se dice: busca y encontrarás, gracias a tus errores calamidades evitarás?",""
arsovska,62,8,"故为天下贵。","Por ello el Dao es lo más valioso bajo el cielo.",""
arsovska,63,1,"为无为，事无事，味无味。","Actúa sin actuar, obra sin obrar, saborea lo insípido.",""
arsovska,63,2,"大小多少，报怨以德。","Lo grande fue pequeño, lo mucho fue poco; responde al odio con Virtud,",""
arsovska,63,3,"图难于其易，为大于其细；","atiende lo complejo desde lo simple, logra lo grande desde lo diminuto.",""
arsovska,63,4,"天下难事必作于易，天下大事必作于细。","Lo difícil del mundo se atiende desde lo simple; las grandes obras comienzan por actos minúsculos.",""
arsovska,63,5,"是以圣人终不为大，故能成其大。","Por ello, el sabio jamás atiende lo grande y logra grandeza.",""
arsovska,63,6,"夫轻诺必寡信，多易必多难。","Las promesas a la ligera son palabras vacías; mucha facilidad trae grandes dificultades.",""
arsovska,63,7,"是以圣人犹难之，故终无难矣。","Por ello, el sabio valora la dificultad y al final nada le es difícil.",""
arsovska,64,1,"其安易持，其未兆易谋。其脆易泮，其微易散。","Es fácil apresar lo calmado, es fácil planear antes del augurio, es fácil quebrar lo frágil, es fácil disipar lo ínfimo.",""
arsovska,64,2,"为之于未有，治之于未乱。","Ocúpate antes de que surja, ordénalo antes de que se enrede.",""
arsovska,64,3,"合抱之木，生于毫末；","Un árbol que pueden dos brazos rodear fue primero una diminuta raíz.",""
arsovska,64,4,"九层之台，起于累土；","Una pagoda de nueve pisos comenzó con un montículo de tierra.",""
arsovska,64,5,"千里之行，始于足下。","Un viaje de mil millas comenzó con un paso.",""
arsovska,64,6,"为者败之，执者失之。","Quien actúa fracasa; quien se aferra pierde.",""
arsovska,64,7,"是以圣人无为故无败，无执故无失。","Por ello el sabio no actúa, y no fracasa. No se aferra, y no pierde.",""
arsovska,64,8,"民之从事，常于几成而败之。","Cuando el pueblo busca actuar, suele fracasar justo antes de lograr.",""
arsovska,64,9,"慎终如始，则无败事。","Pues hay que saber terminar, tanto como saber comenzar. Sólo así no hay lugar para el fracaso.",""
arsovska,64,10,"是以圣人欲不欲，不贵难得之货；","Por ello, el sabio desea no desear, no valora las cosas difíciles de obtener,",""
arsovska,64,11,"学不学，复众人之所过。","aprende a no aprender, recorre el sendero que el pueblo ya caminó,",""
arsovska,64,12,"以辅万物之自然，而不敢为。","se adhiere a la espontaneidad de las diez mil cosas y, por ello, no se atreve a actuar.",""
arsovska,65,1,"古之善为道者，非以明民，将以愚之。","Aquellos antaño diestros en el Dao no lo empleaban para iluminar al pueblo, sino para mantener su ingenuidad.",""
arsovska,65,2,"民之难治，以其智多。","Gobernar es difícil porque abunda la sagacidad.",""
arsovska,65,3,"故以智治国，国之贼；不以智治国，国之福。","Gobernar con sagacidad incita a la astucia; gobernar sin sagacidad trae plenitud.",""
arsovska,65,4,"知此两者亦稽式。","Conocer estos dos es conocer el molde.",""
arsovska,65,5,"常知稽式，是谓玄德。","Conocer el molde es Virtud misteriosa,",""
arsovska,65,6,"玄德深矣，远矣，与物反矣，然后乃至大顺。","profunda y lejana, que retorna a las cosas y fluye con ellas.",""
arsovska,66,1,"江海所以能为百谷王者，以其善下之，故能为百谷王。","Los ríos y los mares son señores de los cien valles. Es su virtud situarse debajo; por ello pueden ser sus reyes.",""
arsovska,66,2,"是以欲上民，必以言下之。","Por ello, si quieres estar por encima del pueblo, tus palabras deben indicar lo contrario.",""
arsovska,66,3,"欲先民，必以身后之。","Si quieres preceder al pueblo, debes situarte atrás.",""
arsovska,66,4,"是以圣人处上而民不重，处前而民不害。","Así, el sabio está encima, pero el pueblo no siente su peso; está delante, pero no lastima;",""
arsovska,66,5,"是以天下乐推而不厌，以其不争，故天下莫能与之争。","promueve, pero no aprisiona. Al no contender, nada en el mundo puede luchar contra él...",""
arsovska,67,1,"天下皆谓我道大，似不肖。","Bajo el cielo todos dicen que mi Dao es grande; tal parece que con nada se compara.",""
arsovska,67,2,"夫唯大，故似不肖。","Justo por su grandeza a nada semeja;",""
arsovska,67,3,"若肖，久矣其细也夫！","si a algo semejara, ¡su grandeza menguaría!",""
arsovska,67,4,"我有三宝，持而保之。","Tengo yo tres tesoros que valoro y protejo:",""
arsovska,67,5,"一曰慈，二曰俭，三曰不敢为天下先。","la compasión, la frugalidad y jamás preceder.",""
arsovska,67,6,"慈故能勇；俭故能广；不敢为天下先，故能成器长。","De la compasión surge la valentía; de la frugalidad, la generosidad, y de jamás preceder, el liderazgo.",""
arsovska,67,7,"今舍慈且勇，舍俭且广，舍后且先，死矣！","Pero hoy se abandona la compasión y, con ella, la valentía; la frugalidad y, con ella, la generosidad. Se sacrifica el atrás por la delantera y eso es ¡la muerte misma!",""
arsovska,67,8,"夫慈以战则胜，以守则固。","La compasión vence en la guerra y resguarda al Estado,",""
arsovska,67,9,"天将救之，以慈卫之。","y entonces el cielo rescata y protege con compasión.",""
arsovska,68,1,"善为士者不武，善战者不怒，善胜敌者不与，善用人者为之下，","Quien sabe pelear no emplea armas; quien sabe luchar controla su ira; quien sabe vencer al enemigo no acude a su encuentro; quien a otros sabe usar se coloca por debajo de ellos.",""
arsovska,68,2,"是谓不争之德，是谓用人之力，","He aquí la Virtud de no contender, la destreza de saber disponer de los demás.",""
arsovska,68,3,"是谓配天古之极。","Desde tiempos remotos, ¡eso es ser digno par del cielo!",""
arsovska,69,1,"用兵有言：吾不敢为主而为客，不敢进寸而退尺。","Quienes comandan ejércitos dicen: prefiero ser huésped y no anfitrión; prefiero retroceder diez pasos y no avanzar una pulgada.",""
arsovska,69,2,"是谓行无行，攘无臂，扔无敌，执无兵。","Esto se llama avanzar sin andar, enrollarse las mangas sin empuñar, prepararse mas no embestir. ¿Acaso el enemigo osará atacar?",""
arsovska,69,3,"祸莫大于轻敌，轻敌几丧吾宝。","No hay peor catástrofe que subestimar al enemigo. Significa perderlo todo.",""
arsovska,69,4,"故抗兵相加，哀者胜矣。","Por ello, cuando dos ejércitos se enfrentan, quien lamenta el encuentro resulta victorioso.",""
arsovska,70,1,"吾言甚易知，甚易行。","Es fácil comprender mis palabras y también fácil actuar en concordancia.",""
arsovska,70,2,"天下莫能知，莫能行。","Pero el mundo no las comprende ni tampoco las pone en práctica.",""
arsovska,70,3,"言有宗，事有君。","Mis palabras tienen ancestros, y las acciones, predecesores.",""
arsovska,70,4,"夫唯无知，是以不我知。","Quienes no entienden esto tampoco me entienden a mí.",""
arsovska,70,5,"知我者希，则我者贵。","Pocos me conocen: he ahí mi valor.",""
arsovska,70,6,"是以圣人被褐怀玉。","Los ropajes raídos del sabio ocultan fino jade en su interior.",""
arsovska,71,1,"知不知上，","Saber que no sabes es superior.",""
arsovska,71,2,"不知知病。","No saber lo que sabes es padecer.",""
arsovska,71,3,"夫唯病病，是以不病。","Sólo quien conoce la enfermedad deja de padecer.",""
arsovska,71,4,"圣人不病，以其病病，是以不病。","El sabio no padece porque conoce la enfermedad. Conocer la enfermedad es jamás padecer.",""
arsovska,72,1,"民不畏威，则大威至。","Cuando el pueblo no teme a la autoridad, grande es el poder del Estado.",""
arsovska,72,2,"无狎其所居，无厌其所生。","No te metas en sus casas, no obstaculices sus vidas,",""
arsovska,72,3,"夫唯不厌，是以不厌。","no los orilles, déjalos crecer; sólo así podrás retener el poder.",""
arsovska,72,4,"是以圣人自知不自见；自爱不自贵。","Por ello, el sabio se conoce, mas no se exhibe; se ama, mas no se idolatra.",""
arsovska,72,5,"故去彼取此。","Deja aquello y toma esto.",""
arsovska,73,1,"勇于敢则杀，","El temerario y atrevido perece.",""
arsovska,73,2,"勇于不敢则活。","El valiente y prudente permanece.",""
arsovska,73,3,"此两者，或利或害。","De estos dos, uno es benéfico; el otro, perjudicial.",""
arsovska,73,4,"天之所恶，孰知其故？","Aquello que el cielo repudia, ¿acaso alguien conoce sus razones?",""
arsovska,73,5,"是以圣人犹难之。","Incluso el sabio alberga sus dudas.",""
arsovska,73,6,"天之道，不争而善胜，不言而善应，不召而自来，繟然而善谋。","El Dao del cielo es vencer sin luchar, responder sin hablar, acudir sin ser llamado, cual diestro tejedor saber planear.",""
arsovska,73,7,"天网恢恢，疏而不失。","Las redes del cielo no tienen límites; se estiran, mas no se rasgan.",""
arsovska,74,1,"民不畏死，奈何以死惧之？","Si el pueblo no le teme a la muerte, ¿para qué amenazarlo con ella?",""
arsovska,74,2,"若使民常畏死，而为奇者，吾得执而杀之，孰敢？","Si a quien infunde el miedo a la muerte lo debo atrapar y matar, ¿me atreveré?",""
arsovska,74,3,"常有司杀者杀，","Existen verdugos encargados de ejecutar.",""
arsovska,74,4,"夫代司杀者杀，是谓代大匠斲，","Querer tomar su lugar, ¿acaso no es pretender reemplazar al carpintero?",""
arsovska,74,5,"夫代大匠斲者，希有不伤其手矣。","Quien reemplaza al carpintero siempre se corta la mano.",""
arsovska,75,1,"民之饥，以其上食税之多，是以饥。","Hay hambruna cuando los tributos son desproporcionados: por eso hay hambruna.",""
arsovska,75,2,"民之难治，以其上之有为，是以难治。","Gobernar es difícil cuando los de arriba actúan de más; por eso es difícil gobernar.",""
arsovska,75,3,"民之轻死，以其求生之厚，是以轻死。","El pueblo muere con facilidad porque se aferra a la vida; por eso el pueblo muere con facilidad.",""
arsovska,75,4,"夫唯无以生为者，是贤于贵生。","Vivir sin actuar es mejor que sobrevalorar la vida.",""
arsovska,76,1,"人之生也柔弱，其死也坚强。","El humano es blando y flexible en vida; duro y rígido al morir.",""
arsovska,76,2,"万物草木之生也柔脆，其死也枯槁。","Las plantas son frágiles y blandas al nacer; se marchitan y secan al perecer.",""
arsovska,76,3,"故坚强者死之徒，柔弱者生之徒。","Lo duro y lo rígido son discípulos de la muerte; lo blando y lo flexible, discípulos de la vida.",""
arsovska,76,4,"是以兵强则不胜，木强则兵。","Así, quien en batalla emplea la fuerza no triunfa. Cuando el árbol endurece, se tala.",""
arsovska,76,5,"强大处下，柔弱处上。","Lo duro y rígido es inferior, lo blando y flexible es superior.",""
arsovska,77,1,"天之道，其犹张弓与？","El Dao del cielo ¿acaso duda en templar el arco?",""
arsovska,77,2,"高者抑之，下者举之；有余者损之，不足者补之。","Desciende lo alto, eleva lo bajo; disipa lo sobrante, compensa lo carente. ...",""
arsovska,77,3,"天之道，损有余而补不足。","El Dao del cielo disipa lo sobrante y compensa lo carente.",""
